url,description,window_width,window_height
https://www.bestbuy.com/site/apple-refurbished-12-9-inch-ipad-pro-256gb-silver/5665301.p?skuId=5665301,iPad (Refurb) 256GB,,
https://www.bestbuy.com/site/apple-ipad-pro-12-9-inch-2nd-generation-with-wi-fi-cellular-512-gb-silver/5505700.p?skuId=5505700,2017 iPad 512GB Silver - BestBuy,,
https://www.bestbuy.com/site/apple-ipad-pro-12-9-inch-2nd-generation-with-wi-fi-cellular-512-gb-gold/5505701.p?skuId=5505701,2017 iPad 512GB Silver - BestBuy,,
https://www.bestbuy.com/site/apple-ipad-pro-12-9-inch-2nd-generation-with-wi-fi-cellular-256-gb-space-gray/9079049.p?skuId=9079049,iPad 256 Gray - Bestbuy,,
https://www.bestbuy.com/site/apple-ipad-pro-12-9-inch-2nd-generation-with-wi-fi-cellular-256-gb-silver/5502100.p?skuId=5502100,iPad 256 Silver - BestBuy,,
https://www.bestbuy.com/site/apple-12-9-inch-ipad-pro-latest-model-with-wi-fi-cellular-512gb-space-gray/4905101.p?skuId=4905101,iPad 512 Silver - BestBuy,,
https://www.bestbuy.com/site/apple-12-9-inch-ipad-pro-latest-model-with-wi-fi-cellular-512gb-silver/4905500.p?skuId=4905500,iPad 512 Gray - BestBuy,,
https://www.bestbuy.com/site/apple-12-9-inch-ipad-pro-latest-model-with-wi-fi-cellular-1tb-space-gray/4905600.p?skuId=4905600,iPad 1TB - BestBuy,,
https://www.bestbuy.com/site/apple-12-9-inch-ipad-pro-latest-model-with-wi-fi-cellular-1tb-silver/4905700.p?skuId=4905700,iPad 1TB - BestBuy,,
https://www.amazon.com/dp/B07K3ZHM3V/ref=cm_sw_r_tw_dp_U_x_yJvUDb5BG19RV?th=1,iPad 256 Gray - Amazon,1920,540
https://www.amazon.com/dp/B07K3ZM47N/ref=cm_sw_r_tw_dp_U_x_yJvUDb5BG19RV?th=1,iPad 256 Silver - Amazon,1920,540
https://www.amazon.com/dp/B07K3B4NBH/ref=cm_sw_r_tw_dp_U_x_yJvUDb5BG19RV,iPad 512 Gray - Amazon,1920,540
https://www.amazon.com/dp/B07K438MJV/ref=cm_sw_r_tw_dp_U_x_FKvUDbBW115H9 ,iPad 512 Silver - Amazon,1920,540
https://www.amazon.com/dp/B07K344LR9/ref=cm_sw_r_tw_dp_U_x_BZvUDbV7ASB1K,iPad 1TB Gray - Amazon,1920,540
https://www.amazon.com/dp/B07K3BZSN3/ref=cm_sw_r_tw_dp_U_x_Q0vUDb4R8A95BK,iPad 1TB Silver - Amazon,1920,540
https://www.walmart.com/ip/Apple-12-9-inch-iPad-Pro-2018-Wi-Fi-Cellular-256GB-Silver/356659182?selected=true,iPad 256 Silver ,,
https://www.walmart.com/ip/Apple-12-9-inch-iPad-Pro-2018-Wi-Fi-Cellular-256GB/507838389?selected=true,iPad 256 Gray,,
https://www.walmart.com/ip/Apple-12-9-inch-iPad-Pro-2018-Wi-Fi-Cellular-512GB-Silver/174902580?selected=true,iPad 512 Silver,,
https://www.walmart.com/ip/Apple-12-9-inch-iPad-Pro-2018-Wi-Fi-Cellular-512GB/221098689?selected=true,iPad 512 Black,,
https://www.walmart.com/ip/Apple-12-9-inch-iPad-Pro-2018-1TB-WiFi-Cellular-Silver/688634941?selected=true,iPad 1Tb Silver,,
https://www.walmart.com/ip/Apple-12-9-inch-iPad-Pro-2018-1TB-WiFi-Cellular/965075552?selected=true,iPad 1Tb Gray,,
https://www.bhphotovideo.com/c/product/1441852-REG/apple_mtj02ll_a_12_9_ipad_pro_late.html,iPad,,
https://www.bhphotovideo.com/c/product/1441853-REG/apple_mtja2ll_a_12_9_ipad_pro_late.html,iPad,,
https://www.bhphotovideo.com/c/product/1441855-REG/apple_mtjn2ll_a_12_9_ipad_pro_late.html,iPad,,
https://www.bhphotovideo.com/c/product/1441854-REG/apple_mtjh2ll_a_12_9_ipad_pro_late.html,iPad,,
https://www.bhphotovideo.com/c/product/1441856-REG/apple_mtju2ll_a_12_9_ipad_pro_late.html,iPad,,
https://www.bhphotovideo.com/c/product/1441857-REG/apple_mtl02ll_a_12_9_ipad_pro_late.html,iPad,,
https://www.bhphotovideo.com/c/product/1342553-REG/apple_mpll2ll_a_12_9_ipad_pro_mid.html,iPad 2017 - B&H,,
